car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats
Toyota Innova,Toyota,Innova,10,94000,Individual,Diesel,Manual,12.8,2494,102.0,8
BMW 7,BMW,7,14,85000,Dealer,Diesel,Automatic,16.46,2993,258.0,5
Renault KWID,Renault,KWID,3,10000,Individual,Petrol,Manual,23.01,999,67.0,5
Hyundai i20,Hyundai,i20,10,75000,Dealer,Petrol,Manual,17.0,1197,80.0,5
Honda Amaze,Honda,Amaze,3,50000,Individual,Diesel,Manual,25.8,1498,98.6,5
Volkswagen Vento,Volkswagen,Vento,6,48000,Dealer,Diesel,Manual,20.34,1498,103.2,5
Skoda Superb,Skoda,Superb,7,51000,Dealer,Diesel,Automatic,17.2,1968,138.08,5
Audi A4,Audi,A4,5,55000,Dealer,Petrol,Automatic,17.84,1395,147.51,5
Hyundai Verna,Hyundai,Verna,10,8000,Dealer,Petrol,Manual,17.01,1591,121.3,5
Maruti Swift Dzire,Maruti,Swift Dzire,6,26500,Individual,Petrol,Manual,20.85,1197,83.14,5
Mahindra XUV500,Mahindra,XUV500,4,34000,Dealer,Diesel,Manual,16.0,2179,140.0,7
Mahindra Scorpio,Mahindra,Scorpio,13,97000,Dealer,Diesel,Manual,12.05,2179,120.0,8
Hyundai i20,Hyundai,i20,3,12000,Dealer,Petrol,Automatic,17.4,1197,81.86,5
Ford Figo,Ford,Figo,4,42267,Dealer,Diesel,Manual,25.83,1498,99.0,5
Ford Ecosport,Ford,Ecosport,6,73521,Dealer,Diesel,Manual,21.7,1498,98.96,5
Toyota Innova,Toyota,Innova,6,63000,Dealer,Diesel,Manual,12.99,2494,100.6,8
Maruti Alto,Maruti,Alto,5,36172,Dealer,Petrol,Manual,24.7,796,47.3,5
Honda City,Honda,City,15,50000,Individual,Petrol,Manual,17.7,1497,78.0,5
Hyundai i20,Hyundai,i20,2,11972,Dealer,Petrol,Manual,18.6,1197,81.83,5
Maruti Swift,Maruti,Swift,6,72030,Dealer,Petrol,Manual,22.0,1197,81.8,5
Mahindra Scorpio,Mahindra,Scorpio,3,39000,Dealer,Diesel,Manual,16.36,2179,140.0,7
Maruti Ciaz,Maruti,Ciaz,5,50000,Individual,Diesel,Manual,28.09,1248,88.5,5
Honda Jazz,Honda,Jazz,6,70100,Dealer,Diesel,Manual,27.3,1498,98.6,5
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,5,45000,Dealer,Diesel,Automatic,13.0,2143,204.0,5
Maruti Celerio,Maruti,Celerio,4,33000,Dealer,Petrol,Manual,23.1,998,67.04,5
Datsun RediGO,Datsun,RediGO,2,4646,Dealer,Petrol,Manual,22.7,799,53.64,5
Honda Amaze,Honda,Amaze,3,12000,Dealer,Petrol,Manual,17.8,1198,86.7,5
Hyundai Verna,Hyundai,Verna,10,58222,Dealer,Diesel,Manual,22.32,1582,126.32,5
Maruti Wagon R,Maruti,Wagon R,4,15000,Individual,Petrol,Automatic,20.51,998,67.0,5
Skoda Rapid,Skoda,Rapid,5,49000,Dealer,Diesel,Automatic,21.66,1498,103.52,5
Hyundai Creta,Hyundai,Creta,5,80000,Dealer,Petrol,Manual,13.0,1591,121.3,5
Volkswagen Vento,Volkswagen,Vento,8,66000,Dealer,Diesel,Manual,20.54,1598,103.6,5
Maruti Alto,Maruti,Alto,6,19668,Trustmark Dealer,Petrol,Manual,23.95,998,67.05,5
Maruti Wagon R,Maruti,Wagon R,5,63554,Dealer,Petrol,Manual,20.51,998,67.04,5
Maruti Swift,Maruti,Swift,13,85000,Dealer,Diesel,Manual,17.8,1248,75.0,5
Maruti Swift,Maruti,Swift,3,50000,Individual,Diesel,Manual,28.4,1248,74.0,5
Mahindra KUV100,Mahindra,KUV100,2,15000,Individual,Petrol,Manual,18.15,1198,82.0,6
Maruti Alto,Maruti,Alto,5,31000,Dealer,Petrol,Manual,22.74,796,47.3,5
Hyundai i10,Hyundai,i10,12,79497,Dealer,Petrol,Manual,20.36,1197,78.9,5
Maruti Baleno,Maruti,Baleno,3,35000,Dealer,Diesel,Manual,27.39,1248,74.0,5
Maruti Eeco,Maruti,Eeco,1,5512,Dealer,Petrol,Manual,15.37,1196,73.0,5
Hyundai i20,Hyundai,i20,5,54000,Dealer,Diesel,Manual,23.0,1396,90.0,5
Ford Figo,Ford,Figo,7,58481,Dealer,Diesel,Manual,20.0,1399,68.05,5
Hyundai i10,Hyundai,i10,5,46568,Dealer,Petrol,Manual,19.81,1086,68.05,5
Hyundai Creta,Hyundai,Creta,4,50000,Individual,Petrol,Automatic,13.0,1591,121.3,5
Mahindra XUV500,Mahindra,XUV500,5,83000,Dealer,Diesel,Manual,16.0,1997,140.0,7
Jaguar XF,Jaguar,XF,8,44000,Dealer,Diesel,Automatic,19.33,1999,177.0,5
Tata Nexon,Tata,Nexon,3,12000,Dealer,Diesel,Manual,21.5,1497,108.5,5
Maruti Ertiga,Maruti,Ertiga,5,57000,Dealer,Diesel,Manual,24.52,1248,88.5,7
Skoda Rapid,Skoda,Rapid,5,47612,Dealer,Diesel,Manual,21.13,1498,108.6,5
Maruti Celerio,Maruti,Celerio,6,35000,Dealer,Petrol,Automatic,23.1,998,67.04,5
Maruti Celerio,Maruti,Celerio,7,33231,Dealer,Petrol,Automatic,23.1,998,67.04,5
Hyundai i20,Hyundai,i20,7,24000,Individual,Petrol,Manual,18.6,1197,81.83,5
Maruti Swift Dzire,Maruti,Swift Dzire,8,60000,Individual,Diesel,Manual,23.4,1248,74.0,5
Toyota Innova,Toyota,Innova,7,110000,Dealer,Diesel,Manual,12.99,2494,100.6,8
Toyota Innova,Toyota,Innova,4,68745,Dealer,Diesel,Manual,13.68,2393,147.8,7
Ford Ecosport,Ford,Ecosport,8,68281,Dealer,Diesel,Manual,22.7,1498,89.84,5
Volkswagen Polo,Volkswagen,Polo,5,58000,Dealer,Petrol,Automatic,17.21,1197,103.6,5
Honda City,Honda,City,7,100000,Individual,Petrol,Manual,17.4,1497,117.3,5
Honda CR-V,Honda,CR-V,14,152358,Dealer,Petrol,Automatic,10.1,2354,152.0,5
Skoda Superb,Skoda,Superb,7,32000,Dealer,Petrol,Manual,13.1,1798,157.75,5
Honda City,Honda,City,2,20000,Dealer,Petrol,Automatic,18.0,1497,117.6,5
Hyundai i10,Hyundai,i10,8,72000,Dealer,Petrol,Manual,20.36,1197,78.9,5
Maruti Alto,Maruti,Alto,15,103000,Dealer,Petrol,Manual,19.7,796,46.3,5
Hyundai Grand,Hyundai,Grand,7,54000,Dealer,Diesel,Manual,24.0,1186,73.97,5
Renault Duster,Renault,Duster,5,60000,Individual,Diesel,Manual,19.87,1461,83.8,5
Land Rover Rover,Land Rover,Rover,5,56000,Dealer,Petrol,Automatic,12.63,1999,177.0,5
Maruti Swift Dzire,Maruti,Swift Dzire,10,62000,Dealer,Petrol,Manual,17.5,1298,85.8,5
Honda City,Honda,City,13,59500,Dealer,Petrol,Manual,17.0,1497,118.0,5
Volkswagen Vento,Volkswagen,Vento,6,49700,Dealer,Petrol,Manual,15.04,1598,103.2,5
Hyundai Grand,Hyundai,Grand,4,12784,Dealer,Petrol,Automatic,18.9,1197,81.86,5
Hyundai Verna,Hyundai,Verna,3,20000,Individual,Petrol,Manual,17.0,1591,121.3,5
Ford Ecosport,Ford,Ecosport,6,60172,Dealer,Petrol,Automatic,16.5,1499,110.0,5
Maruti Alto,Maruti,Alto,17,85000,Dealer,Petrol,Manual,19.7,796,46.3,5
Maruti Swift,Maruti,Swift,3,19000,Dealer,Petrol,Automatic,22.0,1197,81.8,5
Hyundai i20,Hyundai,i20,3,12000,Dealer,Petrol,Manual,18.6,1197,81.83,5
Tata Tiago,Tata,Tiago,4,42000,Dealer,Diesel,Manual,27.28,1047,69.0,5
Honda Jazz,Honda,Jazz,5,66000,Dealer,Petrol,Manual,16.0,1198,90.0,5
Hyundai Creta,Hyundai,Creta,5,62000,Individual,Diesel,Manual,19.67,1582,126.2,5
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,4,55000,Dealer,Diesel,Automatic,19.71,2143,201.15,5
Hyundai i20,Hyundai,i20,4,25000,Individual,Petrol,Manual,18.6,1197,81.83,5
Toyota Innova,Toyota,Innova,4,100000,Individual,Diesel,Manual,13.68,2393,147.8,7
Renault Duster,Renault,Duster,8,250000,Individual,Diesel,Manual,20.45,1461,83.8,5
Hyundai i10,Hyundai,i10,8,59654,Dealer,Petrol,Manual,19.81,1086,68.05,5
Maruti Wagon R,Maruti,Wagon R,3,93000,Individual,CNG,Manual,26.6,998,58.16,5
Renault Duster,Renault,Duster,4,85000,Dealer,Diesel,Automatic,19.87,1461,108.5,5
Maruti Alto,Maruti,Alto,4,35668,Dealer,Petrol,Automatic,23.95,998,67.1,5
Maruti Swift,Maruti,Swift,8,101271,Individual,Diesel,Manual,22.9,1248,74.0,5
Hyundai Grand,Hyundai,Grand,5,40000,Dealer,Petrol,Manual,18.9,1197,82.0,5
Mahindra XUV500,Mahindra,XUV500,4,35000,Individual,Diesel,Manual,16.0,2179,140.0,7
Renault KWID,Renault,KWID,5,51000,Dealer,Petrol,Manual,21.74,999,67.0,5
Hyundai i20,Hyundai,i20,8,70000,Dealer,Diesel,Manual,21.9,1396,88.76,5
Mahindra XUV500,Mahindra,XUV500,2,99000,Dealer,Diesel,Manual,16.0,2179,140.0,7
Mahindra XUV500,Mahindra,XUV500,8,148736,Individual,Diesel,Manual,15.1,2179,140.0,7
Maruti Celerio,Maruti,Celerio,7,41248,Dealer,Petrol,Automatic,23.1,998,67.04,5
Maruti Baleno,Maruti,Baleno,3,16348,Dealer,Petrol,Manual,21.4,1197,83.1,5
Maruti Ertiga,Maruti,Ertiga,9,90000,Individual,Diesel,Manual,20.77,1248,88.76,7
Maruti Wagon R,Maruti,Wagon R,8,64000,Dealer,CNG,Manual,33.54,998,67.04,5
Audi A8,Audi,A8,6,55000,Dealer,Diesel,Automatic,16.77,2967,246.74,4
Maruti Celerio,Maruti,Celerio,3,22000,Individual,Petrol,Manual,23.1,998,67.04,5
Maruti Wagon R,Maruti,Wagon R,15,37000,Dealer,Petrol,Manual,21.79,998,67.05,5
Maruti Alto,Maruti,Alto,4,61000,Dealer,CNG,Manual,33.44,796,40.3,4
Renault KWID,Renault,KWID,4,60000,Individual,Petrol,Manual,23.01,999,67.0,5
Tata Tiago,Tata,Tiago,5,13552,Dealer,Petrol,Manual,23.84,1199,84.0,5
Audi A8,Audi,A8,9,45000,Individual,Diesel,Automatic,11.8,2967,246.7,5
Honda Amaze,Honda,Amaze,8,34294,Individual,Diesel,Manual,25.8,1498,98.6,5
Maruti Alto,Maruti,Alto,5,42540,Dealer,Petrol,Manual,22.74,796,47.3,5
Honda Amaze,Honda,Amaze,7,45120,Dealer,Diesel,Manual,25.8,1498,98.6,5
Maruti Swift Dzire,Maruti,Swift Dzire,7,50000,Dealer,Petrol,Manual,20.85,1197,83.14,5
Maruti Alto,Maruti,Alto,13,92000,Dealer,Petrol,Manual,19.7,796,46.3,5
Maruti Swift Dzire,Maruti,Swift Dzire,5,80000,Individual,Diesel,Manual,19.3,1248,73.9,5
Honda Jazz,Honda,Jazz,5,33980,Dealer,Petrol,Manual,18.7,1199,88.7,5
Maruti Swift,Maruti,Swift,5,82000,Dealer,Diesel,Manual,25.2,1248,74.0,5
Maruti Ciaz,Maruti,Ciaz,6,41348,Dealer,Diesel,Manual,26.21,1248,88.5,5
BMW X1,BMW,X1,4,40000,Dealer,Diesel,Automatic,19.62,1998,192.0,5
Honda WR-V,Honda,WR-V,2,23000,Individual,Diesel,Manual,25.5,1498,98.6,5
Tata Tiago,Tata,Tiago,2,6500,Individual,Petrol,Manual,23.84,1199,84.0,5
Maruti Alto,Maruti,Alto,3,15000,Individual,Petrol,Manual,23.95,998,67.1,5
Honda WR-V,Honda,WR-V,3,52000,Dealer,Diesel,Manual,25.5,1498,98.6,5
Hyundai Grand,Hyundai,Grand,4,50000,Individual,Diesel,Manual,24.0,1186,73.97,5
Ford Figo,Ford,Figo,8,45500,Dealer,Diesel,Manual,20.0,1399,68.05,5
Maruti Swift,Maruti,Swift,12,60000,Individual,Petrol,Manual,16.1,1298,88.2,5
Hyundai Verna,Hyundai,Verna,4,20000,Individual,Petrol,Manual,17.7,1591,121.3,5
Hyundai i10,Hyundai,i10,9,75750,Dealer,Petrol,Manual,20.36,1197,78.9,5
Maruti Ignis,Maruti,Ignis,4,22115,Individual,Petrol,Manual,20.89,1197,81.8,5
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,6,35000,Dealer,Petrol,Automatic,14.74,1991,181.04,5
Volkswagen Polo,Volkswagen,Polo,7,132220,Dealer,Diesel,Manual,20.14,1498,88.8,5
Hyundai Grand,Hyundai,Grand,5,21000,Dealer,Petrol,Manual,18.9,1197,82.0,5
Hyundai Grand,Hyundai,Grand,3,28000,Individual,Petrol,Manual,18.9,1197,81.86,5
Maruti Swift Dzire,Maruti,Swift Dzire,7,56000,Dealer,Diesel,Manual,23.4,1248,74.0,5
Maruti Wagon R,Maruti,Wagon R,10,64000,Dealer,CNG,Manual,26.2,998,58.2,5
Hyundai i20,Hyundai,i20,5,91000,Individual,Diesel,Manual,22.54,1396,88.73,5
Maruti Swift,Maruti,Swift,4,47000,Dealer,Diesel,Manual,28.4,1248,74.0,5
Maruti Swift Dzire,Maruti,Swift Dzire,5,90503,Dealer,Diesel,Manual,23.4,1248,74.0,5
Hyundai i20,Hyundai,i20,10,31280,Dealer,Petrol,Manual,18.6,1197,81.83,5
Maruti Swift Dzire,Maruti,Swift Dzire,8,70000,Individual,Diesel,Manual,23.4,1248,74.0,5
Ford Ecosport,Ford,Ecosport,7,58000,Dealer,Diesel,Manual,22.7,1498,89.84,5
Hyundai i20,Hyundai,i20,3,53000,Dealer,Diesel,Manual,22.54,1396,88.76,5
Hyundai Grand,Hyundai,Grand,7,60000,Individual,Diesel,Manual,24.0,1120,70.0,5
Maruti Alto,Maruti,Alto,6,70000,Individual,Petrol,Manual,23.95,998,67.1,5
