car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Maruti Swift Dzire,Maruti,Swift Dzire,6,32000,Dealer,Diesel,Manual,19.3,1248,73.9,5,558587
Maruti Wagon R,Maruti,Wagon R,4,82000,Dealer,Petrol,Manual,18.9,998,67.1,5,399513
Maruti Swift,Maruti,Swift,5,90000,Individual,Diesel,Manual,25.2,1248,74.0,5,557493
Mahindra Scorpio,Mahindra,Scorpio,8,122772,Dealer,Diesel,Manual,12.05,2179,120.0,7,560078
Mahindra XUV300,Mahindra,XUV300,2,25000,Individual,Diesel,Manual,20.0,1497,115.0,5,935360
Ford Endeavour,Ford,Endeavour,3,25000,Individual,Diesel,Automatic,10.91,3198,197.0,7,2977120
Maruti Swift,Maruti,Swift,8,70000,Individual,Diesel,Manual,22.9,1248,74.0,5,388550
Toyota Fortuner,Toyota,Fortuner,9,70000,Dealer,Diesel,Manual,11.5,2982,171.0,7,1247655
Maruti Wagon R,Maruti,Wagon R,3,10983,Dealer,Petrol,Manual,21.5,1197,81.8,5,514740
BMW X1,BMW,X1,3,80000,Dealer,Diesel,Automatic,20.68,1995,190.0,5,2912573
Mahindra Bolero,Mahindra,Bolero,3,20000,Individual,Diesel,Manual,16.5,1493,70.0,7,772020
Toyota Innova,Toyota,Innova,9,25000,Individual,Diesel,Manual,12.99,2494,100.0,8,981870
Maruti Eeco,Maruti,Eeco,2,7557,Dealer,Petrol,Manual,16.11,1196,72.42,5,429270
Volkswagen Vento,Volkswagen,Vento,8,66000,Dealer,Diesel,Manual,22.27,1498,108.6,5,395087
Hyundai i10,Hyundai,i10,11,48216,Dealer,Petrol,Manual,20.36,1197,78.9,5,243110
Tata Tiago,Tata,Tiago,3,30000,Individual,Petrol,Manual,23.84,1199,84.0,5,425575
Maruti Swift,Maruti,Swift,7,67067,Dealer,Diesel,Manual,28.4,1248,74.0,5,474304
Maruti Celerio,Maruti,Celerio,4,20500,Individual,Petrol,Manual,23.1,998,67.04,5,370700
Maruti Swift,Maruti,Swift,4,100000,Individual,Diesel,Manual,28.4,1248,74.0,5,597250
Audi A6,Audi,A6,7,21000,Dealer,Diesel,Automatic,17.68,1968,174.33,5,1796650
Volkswagen Vento,Volkswagen,Vento,8,71000,Dealer,Diesel,Manual,20.54,1598,103.6,5,357592
Maruti Wagon R,Maruti,Wagon R,5,50000,Individual,CNG,Manual,26.6,998,58.16,5,402070
Ford Ecosport,Ford,Ecosport,3,24000,Dealer,Petrol,Automatic,14.8,1497,121.36,5,1029400
Toyota Fortuner,Toyota,Fortuner,7,46000,Dealer,Diesel,Automatic,12.55,2982,168.5,7,1670063
Tata Tiago,Tata,Tiago,4,35780,Dealer,Diesel,Manual,27.28,1047,69.0,5,512540
Hyundai Grand,Hyundai,Grand,3,36000,Dealer,Petrol,Manual,18.9,1197,82.0,5,500683
Honda City,Honda,City,5,68000,Individual,Diesel,Manual,26.0,1498,98.6,5,784167
Maruti Ciaz,Maruti,Ciaz,2,15000,Individual,Petrol,Manual,21.56,1462,103.25,5,900040
Hyundai i20,Hyundai,i20,11,50000,Individual,Petrol,Manual,18.5,1197,80.0,5,325302
Volkswagen Polo,Volkswagen,Polo,3,50000,Dealer,Petrol,Manual,18.78,999,75.0,5,562010
Ford Figo,Ford,Figo,9,90000,Individual,Diesel,Manual,20.0,1399,68.0,5,252090
Maruti Dzire VXI,Maruti,Dzire VXI,3,1902,Dealer,Petrol,Automatic,24.12,1197,88.5,5,762748
Maruti Wagon R,Maruti,Wagon R,7,86461,Dealer,Petrol,Manual,20.51,998,67.04,5,333420
Honda Amaze,Honda,Amaze,8,100000,Individual,Diesel,Manual,25.8,1498,98.6,5,372383
Renault Duster,Renault,Duster,7,75000,Dealer,Diesel,Manual,19.87,1461,83.8,5,537077
Toyota Innova,Toyota,Innova,5,100000,Dealer,Diesel,Manual,13.68,2393,147.8,8,1657400
Maruti Wagon R,Maruti,Wagon R,8,70000,Individual,Petrol,Manual,20.51,998,67.04,5,297243
Hyundai i10,Hyundai,i10,10,66381,Dealer,Petrol,Manual,20.36,1197,78.9,5,312692
Maruti Alto,Maruti,Alto,13,50000,Individual,Petrol,Manual,19.7,796,46.3,5,141652
Maruti Swift Dzire,Maruti,Swift Dzire,3,100000,Individual,Diesel,Manual,23.4,1248,74.0,5,653490
Mahindra Scorpio,Mahindra,Scorpio,2,30000,Individual,Diesel,Manual,15.4,2523,75.0,7,959168
Honda Amaze,Honda,Amaze,4,55000,Individual,Diesel,Manual,25.8,1498,98.6,5,477730
Honda City,Honda,City,4,25000,Individual,Diesel,Manual,26.0,1498,98.6,5,866292
Maruti Swift Dzire,Maruti,Swift Dzire,3,12400,Dealer,Petrol,Manual,21.21,1197,81.8,5,704787
Renault KWID,Renault,KWID,4,9748,Individual,Petrol,Manual,23.01,999,67.0,5,381743
Maruti Alto,Maruti,Alto,10,16300,Individual,Petrol,Manual,19.7,796,46.3,5,164580
Ford Ecosport,Ford,Ecosport,8,67234,Dealer,Diesel,Manual,22.7,1498,89.84,5,496521
Maruti Swift Dzire,Maruti,Swift Dzire,2,14000,Dealer,Diesel,Manual,19.3,1248,73.9,5,737820
Maruti Baleno,Maruti,Baleno,3,40000,Individual,Diesel,Manual,27.39,1248,74.0,5,735750
Renault KWID,Renault,KWID,6,30000,Individual,Petrol,Manual,25.17,799,53.3,5,299420
Maruti Alto,Maruti,Alto,8,90000,Individual,Petrol,Manual,22.74,796,47.3,5,210972
Honda Amaze,Honda,Amaze,7,170000,Individual,Diesel,Manual,25.8,1498,98.6,5,302410
Hyundai Verna,Hyundai,Verna,9,65000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,610070
Maruti Alto,Maruti,Alto,5,31000,Dealer,CNG,Manual,32.26,998,58.2,4,338830
Maruti Ertiga,Maruti,Ertiga,6,133000,Individual,Diesel,Manual,20.77,1248,88.76,7,602570
Maruti Celerio,Maruti,Celerio,3,18000,Individual,Petrol,Manual,21.63,998,67.0,5,505092
Maruti Celerio,Maruti,Celerio,2,18500,Dealer,Petrol,Automatic,21.63,998,67.0,5,549520
Hyundai i10,Hyundai,i10,10,20000,Individual,Petrol,Manual,20.36,1197,78.9,5,255737
Renault Duster,Renault,Duster,6,56000,Dealer,Diesel,Manual,20.46,1461,83.8,5,570810
Honda City,Honda,City,10,56000,Dealer,Petrol,Manual,17.0,1497,118.0,5,354420
Toyota Innova,Toyota,Innova,10,94000,Individual,Diesel,Manual,12.8,2494,102.0,8,920550
BMW 7,BMW,7,14,85000,Dealer,Diesel,Automatic,16.46,2993,258.0,5,1039830
Renault KWID,Renault,KWID,3,10000,Individual,Petrol,Manual,23.01,999,67.0,5,370237
Hyundai i20,Hyundai,i20,10,75000,Dealer,Petrol,Manual,17.0,1197,80.0,5,337380
Honda Amaze,Honda,Amaze,3,50000,Individual,Diesel,Manual,25.8,1498,98.6,5,658353
Volkswagen Vento,Volkswagen,Vento,6,48000,Dealer,Diesel,Manual,20.34,1498,103.2,5,572050
Skoda Superb,Skoda,Superb,7,51000,Dealer,Diesel,Automatic,17.2,1968,138.08,5,1035574
Audi A4,Audi,A4,5,55000,Dealer,Petrol,Automatic,17.84,1395,147.51,5,2025440
Hyundai Verna,Hyundai,Verna,10,8000,Dealer,Petrol,Manual,17.01,1591,121.3,5,511740
Maruti Swift Dzire,Maruti,Swift Dzire,6,26500,Individual,Petrol,Manual,20.85,1197,83.14,5,473108
Mahindra XUV500,Mahindra,XUV500,4,34000,Dealer,Diesel,Manual,16.0,2179,140.0,7,1310450
Mahindra Scorpio,Mahindra,Scorpio,13,97000,Dealer,Diesel,Manual,12.05,2179,120.0,8,356170
Hyundai i20,Hyundai,i20,3,12000,Dealer,Petrol,Automatic,17.4,1197,81.86,5,822540
Ford Figo,Ford,Figo,4,42267,Dealer,Diesel,Manual,25.83,1498,99.0,5,541690
Ford Ecosport,Ford,Ecosport,6,73521,Dealer,Diesel,Manual,21.7,1498,98.96,5,527360
Toyota Innova,Toyota,Innova,6,63000,Dealer,Diesel,Manual,12.99,2494,100.6,8,941360
Maruti Alto,Maruti,Alto,5,36172,Dealer,Petrol,Manual,24.7,796,47.3,5,287670
Honda City,Honda,City,15,50000,Individual,Petrol,Manual,17.7,1497,78.0,5,202810
Hyundai i20,Hyundai,i20,2,11972,Dealer,Petrol,Manual,18.6,1197,81.83,5,767635
Maruti Swift,Maruti,Swift,6,72030,Dealer,Petrol,Manual,22.0,1197,81.8,5,523280
Mahindra Scorpio,Mahindra,Scorpio,3,39000,Dealer,Diesel,Manual,16.36,2179,140.0,7,1383410
Maruti Ciaz,Maruti,Ciaz,5,50000,Individual,Diesel,Manual,28.09,1248,88.5,5,718570
Honda Jazz,Honda,Jazz,6,70100,Dealer,Diesel,Manual,27.3,1498,98.6,5,601930
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,5,45000,Dealer,Diesel,Automatic,13.0,2143,204.0,5,2677150
Maruti Celerio,Maruti,Celerio,4,33000,Dealer,Petrol,Manual,23.1,998,67.04,5,419160
Datsun RediGO,Datsun,RediGO,2,4646,Dealer,Petrol,Manual,22.7,799,53.64,5,316280
Honda Amaze,Honda,Amaze,3,12000,Dealer,Petrol,Manual,17.8,1198,86.7,5,630690
Hyundai Verna,Hyundai,Verna,10,58222,Dealer,Diesel,Manual,22.32,1582,126.32,5,417330
Maruti Wagon R,Maruti,Wagon R,4,15000,Individual,Petrol,Automatic,20.51,998,67.0,5,423106
Skoda Rapid,Skoda,Rapid,5,49000,Dealer,Diesel,Automatic,21.66,1498,103.52,5,676200
Hyundai Creta,Hyundai,Creta,5,80000,Dealer,Petrol,Manual,13.0,1591,121.3,5,968528
Volkswagen Vento,Volkswagen,Vento,8,66000,Dealer,Diesel,Manual,20.54,1598,103.6,5,373745
Maruti Alto,Maruti,Alto,6,19668,Trustmark Dealer,Petrol,Manual,23.95,998,67.05,5,272598
Maruti Wagon R,Maruti,Wagon R,5,63554,Dealer,Petrol,Manual,20.51,998,67.04,5,366454
Maruti Swift,Maruti,Swift,13,85000,Dealer,Diesel,Manual,17.8,1248,75.0,5,285375
Maruti Swift,Maruti,Swift,3,50000,Individual,Diesel,Manual,28.4,1248,74.0,5,706200
Mahindra KUV100,Mahindra,KUV100,2,15000,Individual,Petrol,Manual,18.15,1198,82.0,6,498523
Maruti Alto,Maruti,Alto,5,31000,Dealer,Petrol,Manual,22.74,796,47.3,5,278005
Hyundai i10,Hyundai,i10,12,79497,Dealer,Petrol,Manual,20.36,1197,78.9,5,208957
Maruti Baleno,Maruti,Baleno,3,35000,Dealer,Diesel,Manual,27.39,1248,74.0,5,795183
Maruti Eeco,Maruti,Eeco,1,5512,Dealer,Petrol,Manual,15.37,1196,73.0,5,428730
Hyundai i20,Hyundai,i20,5,54000,Dealer,Diesel,Manual,23.0,1396,90.0,5,677930
Ford Figo,Ford,Figo,7,58481,Dealer,Diesel,Manual,20.0,1399,68.05,5,263833
Hyundai i10,Hyundai,i10,5,46568,Dealer,Petrol,Manual,19.81,1086,68.05,5,400040
Hyundai Creta,Hyundai,Creta,4,50000,Individual,Petrol,Automatic,13.0,1591,121.3,5,1093710
Mahindra XUV500,Mahindra,XUV500,5,83000,Dealer,Diesel,Manual,16.0,1997,140.0,7,1123470
Jaguar XF,Jaguar,XF,8,44000,Dealer,Diesel,Automatic,19.33,1999,177.0,5,1412640
Tata Nexon,Tata,Nexon,3,12000,Dealer,Diesel,Manual,21.5,1497,108.5,5,850870
Maruti Ertiga,Maruti,Ertiga,5,57000,Dealer,Diesel,Manual,24.52,1248,88.5,7,744700
Skoda Rapid,Skoda,Rapid,5,47612,Dealer,Diesel,Manual,21.13,1498,108.6,5,625250
Maruti Celerio,Maruti,Celerio,6,35000,Dealer,Petrol,Automatic,23.1,998,67.04,5,450540
Maruti Celerio,Maruti,Celerio,7,33231,Dealer,Petrol,Automatic,23.1,998,67.04,5,439490
Hyundai i20,Hyundai,i20,7,24000,Individual,Petrol,Manual,18.6,1197,81.83,5,516138
Maruti Swift Dzire,Maruti,Swift Dzire,8,60000,Individual,Diesel,Manual,23.4,1248,74.0,5,496720
Toyota Innova,Toyota,Innova,7,110000,Dealer,Diesel,Manual,12.99,2494,100.6,8,1041184
Toyota Innova,Toyota,Innova,4,68745,Dealer,Diesel,Manual,13.68,2393,147.8,7,1564208
Ford Ecosport,Ford,Ecosport,8,68281,Dealer,Diesel,Manual,22.7,1498,89.84,5,489971
Volkswagen Polo,Volkswagen,Polo,5,58000,Dealer,Petrol,Automatic,17.21,1197,103.6,5,681420
Honda City,Honda,City,7,100000,Individual,Petrol,Manual,17.4,1497,117.3,5,607320
Honda CR-V,Honda,CR-V,14,152358,Dealer,Petrol,Automatic,10.1,2354,152.0,5,466510
Skoda Superb,Skoda,Superb,7,32000,Dealer,Petrol,Manual,13.1,1798,157.75,5,911212
Honda City,Honda,City,2,20000,Dealer,Petrol,Automatic,18.0,1497,117.6,5,1177440
Hyundai i10,Hyundai,i10,8,72000,Dealer,Petrol,Manual,20.36,1197,78.9,5,307200
Maruti Alto,Maruti,Alto,15,103000,Dealer,Petrol,Manual,19.7,796,46.3,5,120250
Hyundai Grand,Hyundai,Grand,7,54000,Dealer,Diesel,Manual,24.0,1186,73.97,5,361405
Renault Duster,Renault,Duster,5,60000,Individual,Diesel,Manual,19.87,1461,83.8,5,688185
Land Rover Rover,Land Rover,Rover,5,56000,Dealer,Petrol,Automatic,12.63,1999,177.0,5,2804773
Maruti Swift Dzire,Maruti,Swift Dzire,10,62000,Dealer,Petrol,Manual,17.5,1298,85.8,5,298148
Honda City,Honda,City,13,59500,Dealer,Petrol,Manual,17.0,1497,118.0,5,271205
Volkswagen Vento,Volkswagen,Vento,6,49700,Dealer,Petrol,Manual,15.04,1598,103.2,5,544833
Hyundai Grand,Hyundai,Grand,4,12784,Dealer,Petrol,Automatic,18.9,1197,81.86,5,573156
Hyundai Verna,Hyundai,Verna,3,20000,Individual,Petrol,Manual,17.0,1591,121.3,5,998326
Ford Ecosport,Ford,Ecosport,6,60172,Dealer,Petrol,Automatic,16.5,1499,110.0,5,665250
Maruti Alto,Maruti,Alto,17,85000,Dealer,Petrol,Manual,19.7,796,46.3,5,116100
Maruti Swift,Maruti,Swift,3,19000,Dealer,Petrol,Automatic,22.0,1197,81.8,5,731400
Hyundai i20,Hyundai,i20,3,12000,Dealer,Petrol,Manual,18.6,1197,81.83,5,770417
Tata Tiago,Tata,Tiago,4,42000,Dealer,Diesel,Manual,27.28,1047,69.0,5,450760
Honda Jazz,Honda,Jazz,5,66000,Dealer,Petrol,Manual,16.0,1198,90.0,5,517760
Hyundai Creta,Hyundai,Creta,5,62000,Individual,Diesel,Manual,19.67,1582,126.2,5,963187
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,4,55000,Dealer,Diesel,Automatic,19.71,2143,201.15,5,2812540
Hyundai i20,Hyundai,i20,4,25000,Individual,Petrol,Manual,18.6,1197,81.83,5,648485
Toyota Innova,Toyota,Innova,4,100000,Individual,Diesel,Manual,13.68,2393,147.8,7,1655890
Renault Duster,Renault,Duster,8,250000,Individual,Diesel,Manual,20.45,1461,83.8,5,378137
Hyundai i10,Hyundai,i10,8,59654,Dealer,Petrol,Manual,19.81,1086,68.05,5,288790
Maruti Wagon R,Maruti,Wagon R,3,93000,Individual,CNG,Manual,26.6,998,58.16,5,404090
Renault Duster,Renault,Duster,4,85000,Dealer,Diesel,Automatic,19.87,1461,108.5,5,820500
Maruti Alto,Maruti,Alto,4,35668,Dealer,Petrol,Automatic,23.95,998,67.1,5,361300
Maruti Swift,Maruti,Swift,8,101271,Individual,Diesel,Manual,22.9,1248,74.0,5,356885
Hyundai Grand,Hyundai,Grand,5,40000,Dealer,Petrol,Manual,18.9,1197,82.0,5,484280
Mahindra XUV500,Mahindra,XUV500,4,35000,Individual,Diesel,Manual,16.0,2179,140.0,7,1329520
Renault KWID,Renault,KWID,5,51000,Dealer,Petrol,Manual,21.74,999,67.0,5,319090
Hyundai i20,Hyundai,i20,8,70000,Dealer,Diesel,Manual,21.9,1396,88.76,5,391840
Mahindra XUV500,Mahindra,XUV500,2,99000,Dealer,Diesel,Manual,16.0,2179,140.0,7,1601150
Mahindra XUV500,Mahindra,XUV500,8,148736,Individual,Diesel,Manual,15.1,2179,140.0,7,620900
Maruti Celerio,Maruti,Celerio,7,41248,Dealer,Petrol,Automatic,23.1,998,67.04,5,392490
Maruti Baleno,Maruti,Baleno,3,16348,Dealer,Petrol,Manual,21.4,1197,83.1,5,610340
Maruti Ertiga,Maruti,Ertiga,9,90000,Individual,Diesel,Manual,20.77,1248,88.76,7,497810
Maruti Wagon R,Maruti,Wagon R,8,64000,Dealer,CNG,Manual,33.54,998,67.04,5,339690
Audi A8,Audi,A8,6,55000,Dealer,Diesel,Automatic,16.77,2967,246.74,4,4161675
Maruti Celerio,Maruti,Celerio,3,22000,Individual,Petrol,Manual,23.1,998,67.04,5,422110
Maruti Wagon R,Maruti,Wagon R,15,37000,Dealer,Petrol,Manual,21.79,998,67.05,5,91100
Maruti Alto,Maruti,Alto,4,61000,Dealer,CNG,Manual,33.44,796,40.3,4,305700
Renault KWID,Renault,KWID,4,60000,Individual,Petrol,Manual,23.01,999,67.0,5,316180
Tata Tiago,Tata,Tiago,5,13552,Dealer,Petrol,Manual,23.84,1199,84.0,5,444660
Audi A8,Audi,A8,9,45000,Individual,Diesel,Automatic,11.8,2967,246.7,5,2604650
Honda Amaze,Honda,Amaze,8,34294,Individual,Diesel,Manual,25.8,1498,98.6,5,387491
Maruti Alto,Maruti,Alto,5,42540,Dealer,Petrol,Manual,22.74,796,47.3,5,256720
Honda Amaze,Honda,Amaze,7,45120,Dealer,Diesel,Manual,25.8,1498,98.6,5,362460
Maruti Swift Dzire,Maruti,Swift Dzire,7,50000,Dealer,Petrol,Manual,20.85,1197,83.14,5,475787
Maruti Alto,Maruti,Alto,13,92000,Dealer,Petrol,Manual,19.7,796,46.3,5,182807
Maruti Swift Dzire,Maruti,Swift Dzire,5,80000,Individual,Diesel,Manual,19.3,1248,73.9,5,579694
Honda Jazz,Honda,Jazz,5,33980,Dealer,Petrol,Manual,18.7,1199,88.7,5,521740
Maruti Swift,Maruti,Swift,5,82000,Dealer,Diesel,Manual,25.2,1248,74.0,5,516550
Maruti Ciaz,Maruti,Ciaz,6,41348,Dealer,Diesel,Manual,26.21,1248,88.5,5,592981
BMW X1,BMW,X1,4,40000,Dealer,Diesel,Automatic,19.62,1998,192.0,5,2832270
Honda WR-V,Honda,WR-V,2,23000,Individual,Diesel,Manual,25.5,1498,98.6,5,923040
Tata Tiago,Tata,Tiago,2,6500,Individual,Petrol,Manual,23.84,1199,84.0,5,525506
Maruti Alto,Maruti,Alto,3,15000,Individual,Petrol,Manual,23.95,998,67.1,5,355062
Honda WR-V,Honda,WR-V,3,52000,Dealer,Diesel,Manual,25.5,1498,98.6,5,857157
Hyundai Grand,Hyundai,Grand,4,50000,Individual,Diesel,Manual,24.0,1186,73.97,5,478329
Ford Figo,Ford,Figo,8,45500,Dealer,Diesel,Manual,20.0,1399,68.05,5,294450
Maruti Swift,Maruti,Swift,12,60000,Individual,Petrol,Manual,16.1,1298,88.2,5,259950
Hyundai Verna,Hyundai,Verna,4,20000,Individual,Petrol,Manual,17.7,1591,121.3,5,893075
